Brand,Serial,Model,Year,KM,Color,Price
BMW,5 Serisi,520i Executive Plus,2016,57.500,Beyaz,313.000 TL
Mercedes - Benz,E Serisi,E 180 AMG,2017,47.000,Siyah,430.000 TL
BMW,5 Serisi,525i Standart,1989,300.000,Beyaz,42.000 TL
Mercedes - Benz,E Serisi,E 220 CDI BlueEfficiency,2011,97.000,Siyah,275.000 TL
BMW,5 Serisi,520i Premium,2013,62.000,Beyaz,276.000 TL
Dacia,Lodgy,1.5 dCi Stepway,2016,86.000,Gri,83.750 TL
Audi,A3,A3 Hatchback 1.4 TFSI,2009,199.800,Siyah,138.500 TL
Fiat,Egea,1.3 Multijet Easy,2017,80.000,Beyaz,89.900 TL
Seat,Leon,1.6 TDI Style,2018,51.000,Mavi,159.950 TL
Fiat,Egea,1.3 Multijet Easy,2017,54.000,Beyaz,76.500 TL
Mercedes - Benz,S Serisi,S 350 BlueTEC 4Matic 7G-Tronic,2014,169.000,Siyah,829.950 TL
Ford,Focus,1.6 Comfort,2011,60.000,Füme,67.500 TL
Hyundai,Accent Blue,1.6 CRDI Mode Plus,2015,84.500,Beyaz,112.500 TL
Mercedes - Benz,C Serisi,C 180 AMG 7G-Tronic,2016,39.500,Beyaz,317.500 TL
Ford,Focus,1.6 Ghia,2000,230.000,Bordo,42.000 TL
Volkswagen,Passat,2.0 Comfortline,2006,197.000,Gri,79.900 TL
Volkswagen,Polo,1.6,1998,280.000,Kırmızı,27.000 TL
Volkswagen,Golf,1.4 TSI Highline,2018,35.000,Gri,191.500 TL
BMW,3 Serisi,320d Touring,2008,205.000,Siyah,130.000 TL
BMW,1 Serisi,118i Joy Plus,2016,56.000,Siyah,165.500 TL
BMW,5 Serisi,520i Standart,2000,312.000,Gümüş Gri,54.900 TL
Tofaş,Şahin,S,1998,67.000,Beyaz,20.500 TL
Mercedes - Benz,C Serisi,C 200 d BlueTEC Exclusive,2015,146.000,Siyah,258.500 TL
Ford,Focus,1.6 Trend X,2009,186.000,Gümüş Gri,62.000 TL
Renault,Symbol,1.4 Authentique,2008,198.000,Beyaz,41.900 TL
Jaguar,XJ,3.0 D Portfolio,2011,160.000,Siyah,387.000 TL
Mercedes - Benz,E Serisi,E 290 TD Elegance,1996,216.000,Yeşil,65.750 TL
Dacia,Sandero,1.5 dCi Stepway,2012,118.000,Gümüş Gri,76.000 TL
Ford,Fiesta,1.4 Trend,2010,132.000,Beyaz,68.900 TL
Renault,Clio,1.5 dCi Touch,2019,13.582,Beyaz,137.950 TL
Audi,TT,2.0 TFSI,2008,165.000,Gümüş Gri,92.000 TL
Volkswagen,Golf,1.6 TDI BlueMotion Highline,2015,46.000,Kırmızı,136.000 TL
Renault,Symbol,1.5 dCi Joy,2017,93.000,Beyaz,82.500 TL
Mercedes - Benz,B Serisi,B 150 Prestige,2009,88.000,Yeşil,107.500 TL
Opel,Astra,1.6 CDTI Design,2017,32.000,Beyaz,137.500 TL
Ford,Focus,1.5 TDCi Titanium,2018,83.000,Beyaz,173.750 TL
Toyota,Corolla,1.33 Life,2018,39.000,Beyaz,111.250 TL
Volkswagen,Passat,1.6 TDI BlueMotion Impression,2019,5.000,Beyaz,239.000 TL
Ford,Focus,1.6 TDCi Trend X,2015,144.000,Beyaz,101.000 TL
Volkswagen,Passat,1.6 TDI BlueMotion Comfortline,2016,85.000,Siyah,183.950 TL
Fiat,Linea,1.3 Multijet Active Plus,2015,122.000,Beyaz,62.500 TL
Mercedes - Benz,E Serisi,E 180 AMG Premium,2014,148.000,Gri,267.500 TL
Mercedes - Benz,S Serisi,S 320 320 L,1994,420.000,Siyah,57.750 TL
BMW,5 Serisi,530i Standart,2004,340.000,Gümüş Gri,105.000 TL
Audi,A6,A6 Sedan 2.0 TDI Quattro,2016,147.000,Siyah,379.500 TL
Seat,Leon,1.2 TSI Style,2016,128.000,Beyaz,96.500 TL
Opel,Astra,1.6 Enjoy 111. Yıl,2011,130.000,Füme,75.750 TL
Honda,Civic,1.6i VTEC Eco Elegance,2017,25.000,Beyaz,163.750 TL
Peugeot,301,1.6 HDi Active,2017,88.350,Beyaz,86.700 TL
Mercedes - Benz,A Serisi,A 180 CDI BlueEfficiency AMG,2016,46.000,Kırmızı,214.000 TL
Renault,Megane,1.5 dCi Touch,2016,82.569,Gri,137.900 TL
Volkswagen,Polo,1.4 TDI Comfortline,2016,87.055,Beyaz,93.000 TL
BMW,3 Serisi,316i Comfort,2011,168.000,Siyah,111.900 TL
Audi,A1,1.6 TDI Ambition,2013,135.000,Beyaz,116.000 TL
Renault,Megane,1.5 dCi Touch,2019,8.970,Beyaz,175.950 TL
Volkswagen,Passat,1.4 TSI BlueMotion Comfortline,2013,200.000,Siyah,118.250 TL
Ford,Focus,1.5 TDCi Trend X,2015,147.000,Beyaz,107.500 TL
Mercedes - Benz,C Serisi,C 180 AMG 7G-Tronic,2014,74.000,Beyaz,256.500 TL
Mercedes - Benz,E Serisi,E 200 Komp. Elegance,2004,360.000,Füme,114.500 TL
BMW,3 Serisi,320i ED Sport Line,2016,42.000,Beyaz,221.500 TL
Volkswagen,Golf,1.6 TDI Trendline,2011,124.000,Gümüş Gri,95.000 TL
Hyundai,i30,1.6 CRDi Style,2013,160.000,Beyaz,109.000 TL
Mercedes - Benz,E Serisi,E 200 Avantgarde,2016,53.000,Beyaz,433.000 TL
Renault,Fluence,1.5 dCi Touch Plus,2014,118.000,Gümüş Gri,95.000 TL
Renault,Symbol,1.5 dCi Joy,2015,160.000,Beyaz,58.750 TL
Fiat,Egea,1.3 Multijet Easy,2017,17.000,Beyaz,94.950 TL
Renault,Clio,1.5 dCi Joy,2017,92.000,Beyaz,89.950 TL
Skoda,Octavia,1.6 TDI  Optimal,2016,109.000,Beyaz,135.950 TL
Fiat,Egea,1.3 Multijet Easy,2017,77.000,Beyaz,88.950 TL
Renault,Clio,1.5 dCi Joy,2017,92.000,Beyaz,89.950 TL
Ford,Fiesta,1.6 Titanium,2013,130.000,Mavi,73.900 TL
Mercedes - Benz,E Serisi,E 280 CDI Avantgarde,2005,340.000,Mavi,133.000 TL
Seat,Leon,1.4 TSI FR,2014,81.576,Beyaz,115.750 TL
Jaguar,Daimler,4.0,1995,313.000,Gri,153.000 TL
Fiat,Linea,1.3 Multijet Pop,2015,99.000,Beyaz,65.250 TL
Renault,Symbol,1.5 dCi Joy,2016,165.000,Beyaz,66.250 TL
Ford,Fiesta,1.4 Comfort,2007,173.000,Beyaz,41.000 TL
Volkswagen,Golf,1.2 TSI Midline Plus,2013,110.000,Beyaz,113.250 TL
BMW,5 Serisi,520i Premium,2015,71.000,Füme,277.000 TL
Renault,Fluence,1.5 dCi Touch,2015,129.000,Beyaz,76.500 TL
Fiat,Linea,1.3 Multijet Pop,2016,113.000,Beyaz,66.950 TL
Opel,Corsa,1.4 Swing,1997,245.000,Lacivert,23.000 TL
Volkswagen,Jetta,1.6 TDI Comfortline,2013,146.000,Gümüş Gri,114.000 TL
Opel,Astra,1.6 CDTI Sport,2014,155.000,Kahverengi,98.500 TL
Volkswagen,Passat,1.6 Trendline,2006,192.000,Siyah,68.750 TL
BMW,3 Serisi,320d xDrive Edition M Sport,2010,205.000,Beyaz,148.000 TL
Renault,Clio,1.5 dCi Alize,2006,380.000,Kırmızı,36.500 TL
BMW,5 Serisi,525d xDrive  Executive M Sport,2015,99.000,Gri,395.000 TL
Volkswagen,Passat,1.6 TDI BlueMotion Comfortline,2017,88.000,Beyaz,229.750 TL
Audi,A6,A6 Sedan 3.0 Quattro,2002,360.000,Lacivert,66.000 TL
Volkswagen,Polo,1.0 TSI Comfortline,2018,20.000,Kırmızı,141.750 TL
Audi,A3,A3 Sportback 1.6,2009,204.000,Beyaz,98.500 TL
Volkswagen,Golf,1.2 TSI Comfortline,2016,61.000,Gri,144.750 TL
Mercedes - Benz,C Serisi,C 200 d BlueTEC AMG,2016,115.000,Beyaz,229.000 TL
Volkswagen,Golf,1.4 TSI Comfortline,2015,96.200,Beyaz,127.500 TL
BMW,3 Serisi,320i ED Sport Plus,2016,31.700,Gümüş Gri,257.500 TL
Renault,Clio,1.2 Joy,2018,21.000,Beyaz,82.750 TL
Fiat,Linea,1.3 Multijet Active Plus,2013,160.000,Beyaz,53.000 TL
Volkswagen,Polo,1.4 TDI Trendline,2015,160.000,Beyaz,81.000 TL
Opel,Astra,1.6 Enjoy 111. Yıl,2012,139.869,Beyaz,79.999 TL
Audi,A5,A5 Sportback 2.0 TDI,2012,171.000,Siyah,217.500 TL
Mercedes - Benz,C Serisi,C 180 AMG 7G-Tronic,2014,77.000,Beyaz,253.000 TL
Ford,Focus,1.6 TDCi Trend X,2013,199.000,Beyaz,79.750 TL
BMW,1 Serisi,116i Premium,2009,207.000,Beyaz,74.499 TL
Audi,A6,A6 Sedan 2.0 TDI Quattro,2016,43.000,Beyaz,449.000 TL
Skoda,Superb,1.6 TDI Elite,2020,0,Gri,243.900 TL
Mercedes - Benz,C Serisi,C 200 d BlueTEC AMG,2017,28.000,Siyah,326.900 TL
Audi,A6,A6 Sedan 2.0 TDI Quattro,2017,64.000,Siyah,499.900 TL
Mercedes - Benz,C Serisi,C 200 d BlueTEC Comfort,2016,54.000,Beyaz,259.900 TL
Mercedes - Benz,C Serisi,C 200 d BlueTEC Comfort,2017,30.000,Siyah,274.500 TL
Skoda,Superb,1.6 TDI Elite,2020,0,Gri,243.900 TL
BMW,4 Serisi,418i Gran Coupe M Sport,2015,72.000,Mavi,276.500 TL
Volkswagen,Passat,1.6 Comfortline,2007,197.000,Kahverengi,77.900 TL
Volkswagen,Passat,1.6 TDI BlueMotion Comfortline,2015,114.000,Mavi,212.500 TL
Mercedes - Benz,E Serisi,E 180 AMG,2013,127.000,Beyaz,263.000 TL
Peugeot,407,2.0 Executive,2005,218.000,Gümüş Gri,49.000 TL
Honda,Civic,1.6i VTEC Elegance,2010,163.000,Beyaz,105.000 TL
Renault,Megane,1.5 dCi Touch,2019,7.282,Beyaz,172.500 TL
Audi,A4,A4 Sedan 2.0 TDI,2012,166.000,Siyah,141.000 TL
Opel,Astra,1.6 Edition Plus,2018,10.500,Gri,115.900 TL
Volkswagen,Jetta,1.6 TDI Trendline,2011,232.500,Siyah,86.500 TL
Seat,Leon,1.5 EcoTSI FR,2020,0,Beyaz,200.000 TL
Fiat,Egea,1.3 Multijet Urban Plus,2019,16.932,Beyaz,122.500 TL
Ford,Mustang,4.0,2005,73.000,Gri,220.000 TL
Volkswagen,Golf,1.6 TDI BlueMotion Highline,2012,137.000,Siyah,112.500 TL
Renault,Clio,1.5 dCi Authentique,2007,250.000,Gri,39.000 TL
Fiat,Egea,1.6 Multijet Easy Plus,2018,64.000,Beyaz,124.750 TL
Skoda,Octavia,1.6 TDI  Elegance CR,2015,97.000,Beyaz,147.750 TL
Volkswagen,Golf,1.6 TDI BlueMotion Comfortline,2016,120.000,Beyaz,161.500 TL
Volkswagen,Passat,1.6 TDI BlueMotion Highline,2015,105.000,Beyaz,204.000 TL
Volkswagen,Polo,1.4 TDI Comfortline,2016,105.000,Beyaz,101.750 TL
Fiat,Egea,1.3 Multijet Urban Plus,2019,10.546,Beyaz,125.500 TL
Peugeot,307,1.4 HDi XR,2005,325.000,Beyaz,31.000 TL
Kia,Cerato,1.6 GSL Concept,2011,223.000,Beyaz,67.500 TL
Fiat,Egea,1.3 Multijet Easy,2020,0,Beyaz,121.750 TL
Hyundai,Accent Blue,1.4 D-CVVT Mode Plus,2016,55.000,Beyaz,102.000 TL
Audi,A6,A6 Sedan 2.0 TDI Quattro,2017,36.000,Siyah,512.950 TL
Skoda,Superb,1.6 TDI Prestige,2016,72.000,Gümüş Gri,177.000 TL
Volkswagen,Polo,1.2 TDI Trendline,2014,80.240,Beyaz,80.950 TL
Audi,A4,A4 Sedan 2.0 TDI Quattro,2013,135.000,Lacivert,234.000 TL
Mercedes - Benz,C Serisi,C 200 d BlueTEC AMG,2016,54.250,Siyah,305.000 TL
Opel,Astra,1.6 CDTI Design,2018,14.000,Beyaz,164.000 TL
Mercedes - Benz,E Serisi,E 180 Elite,2015,82.000,Siyah,285.000 TL
Mercedes - Benz,CLA,180 d Urban,2018,10.000,Beyaz,293.800 TL
Fiat,Egea,1.6 Multijet Easy,2018,66.000,Beyaz,117.450 TL
Ford,Focus,1.6 Ti-VCT Trend X,2016,53.000,Beyaz,117.000 TL
Fiat,Linea,1.6 Multijet Active Plus,2010,170.000,Beyaz,52.000 TL
Honda,Accord,2.0 Executive,2011,300.000,Füme,97.750 TL
Mercedes - Benz,C Serisi,C 200 d BlueTEC AMG,2016,75.000,Beyaz,294.800 TL
Honda,Jazz,1.4 Elite,2007,67.123,Mavi,87.000 TL
Ford,Focus,1.6 TDCi Trend X,2014,186.000,Beyaz,92.500 TL
BMW,5 Serisi,520i M Sport,2015,117.000,Beyaz,287.000 TL
Volvo,V40,1.5 T3 Inscription,2017,46.000,Mavi,203.500 TL
Dacia,Logan,1.2 Ambiance,2012,61.000,Gümüş Gri,55.000 TL
Renault,Clio,1.4 Extreme,2008,105.000,Gri,51.500 TL
Toyota,Corolla,1.6 Vision,2019,19.500,Beyaz,155.000 TL
Mercedes - Benz,C Serisi,C 180 AMG 9G-Tronic,2018,12.500,Siyah,346.999 TL
Volkswagen,Polo,1.2 TSI Comfortline,2017,31.000,Beyaz,99.000 TL
Peugeot,208,1.4 HDi Active,2014,82.000,Beyaz,94.000 TL
Renault,Fluence,1.5 dCi Touch,2015,107.580,Gri,99.750 TL
Porsche,Taycan,Turbo,2020,0,Beyaz,2.050.000 TL
Renault,Megane,1.5 dCi Dynamique,2007,175.000,Mavi,62.500 TL
Audi,A6,A6 Sedan 3.0 TDI Quattro,2016,79.000,Siyah,599.900 TL
Toyota,Corolla,1.33 Life,2017,53.000,Kırmızı,107.000 TL
Fiat,Egea,1.3 Multijet Easy,2017,78.000,Beyaz,85.700 TL
Renault,Clio,1.0 TCe Icon,2020,0,Mavi,144.700 TL
Toyota,Avensis,1.6 Comfort,2007,80.000,Bej,84.500 TL
Toyota,Avensis,1.6 Elegant,2008,94.000,Bej,84.500 TL
Opel,Insignia,1.6 CDTI  Cosmo,2015,159.000,Beyaz,139.900 TL
Opel,Corsa,1.3 CDTI  Essentia,2012,145.000,Beyaz,69.750 TL
Renault,Symbol,1.5 dCi Joy,2016,551.000,Beyaz,51.250 TL
Renault,Fluence,1.5 dCi Touch,2015,120.000,Beyaz,102.500 TL
Mercedes - Benz,S Serisi,S 350 BlueTEC 4Matic 7G-Tronic,2015,125.780,Siyah,985.000 TL
BMW,4 Serisi,418i Gran Coupe Sport Line,2018,23.000,Gri,334.000 TL
Mercedes - Benz,E Serisi,E 200 Komp. Avantgarde,2001,224.000,Lacivert,152.500 TL
Audi,A3,A3 Sedan 1.6 TDI,2014,85.000,Beyaz,164.000 TL
BMW,5 Serisi,525d xDrive  Premium,2015,73.000,Siyah,395.000 TL
Audi,A3,A3 Sportback 1.6 TDI,2013,85.000,Kırmızı,155.000 TL
Audi,A6,A6 Sedan 2.0 TDI,2012,286.055,Beyaz,224.000 TL
Peugeot,206 +,1.4 HDi Comfort,2010,227.930,Gümüş Gri,40.500 TL
Mercedes - Benz,C Serisi,C 200 d BlueTEC AMG,2016,57.500,Beyaz,282.000 TL
Skoda,Octavia,1.6 TDI  Optimal,2016,140.000,Beyaz,134.500 TL
Ford,Fiesta,1.4 Titanium,2014,104.000,Beyaz,79.500 TL
Mercedes - Benz,E Serisi,E 350 CDI Premium,2011,247.000,Beyaz,217.500 TL
Renault,Megane,1.5 dCi Touch,2016,73.000,Beyaz,133.000 TL
Honda,Civic,1.6i VTEC Eco Elegance,2018,22.500,Bordo,170.000 TL
Seat,Ibiza,1.4 Copa,2011,265.000,Kırmızı,62.000 TL
Audi,A3,A3 Sportback 1.6 TDI,2014,78.000,Beyaz,151.500 TL
Honda,Civic,1.6i VTEC Eco Executive,2018,65.000,Siyah,167.000 TL
Renault,Symbol,1.5 dCi Joy,2013,100.000,Gümüş Gri,52.500 TL
Renault,Clio,1.5 dCi SportTourer Joy,2018,61.966,Beyaz,94.900 TL
BMW,4 Serisi,420d M Sport,2015,78.000,Mavi,480.000 TL
Volvo,S60,1.6 D Premium,2012,236.000,Siyah,113.000 TL
Ford,Fiesta,1.25 Trend,2013,152.800,Beyaz,70.900 TL
Volkswagen,Passat,1.6 TDI BlueMotion Highline,2015,48.000,Beyaz,225.500 TL
Renault,Clio,1.5 dCi Touch,2017,69.750,Kırmızı,107.750 TL
Volkswagen,Polo,1.4 TDI Comfortline,2017,39.000,Beyaz,131.500 TL
Ford,Focus,1.5 TDCi Trend X,2016,84.564,Beyaz,139.900 TL
Volkswagen,Jetta,1.2 TSI BlueMotion Comfortline,2016,53.000,Beyaz,134.900 TL
Volkswagen,Passat,2.0 TDI BlueMotion Highline,2016,219.935,Siyah,238.000 TL
Renault,Clio,1.5 dCi Icon,2015,160.420,Beyaz,93.850 TL
Chevrolet,Aveo,1.3 D LTZ,2012,140.000,Füme,67.500 TL
Hyundai,i20,1.4 CRDi Jump,2013,153.000,Beyaz,73.000 TL
Mercedes - Benz,E Serisi,E 200 d AMG,2020,400,Siyah,589.500 TL
Volkswagen,Jetta,1.6 TDI Comfortline,2014,147.000,Beyaz,128.000 TL
Peugeot,207,1.6 THP GT,2007,139.600,Kırmızı,59.500 TL
Dacia,Sandero,1.5 dCi Stepway,2017,91.000,Lacivert,90.000 TL
DS Automobiles,DS 5,1.6 THP D-Sport,2015,84.000,Beyaz,124.500 TL
Renault,Fluence,1.5 dCi Touch,2014,164.500,Siyah,85.500 TL
Volkswagen,Passat,1.8 T Comfortline,2000,260.000,Gümüş Gri,38.750 TL
Volkswagen,Passat,1.6 TDI BlueMotion Impression,2019,7.000,Gri,239.500 TL
Renault,Fluence,1.5 dCi Icon,2013,133.000,Beyaz,89.250 TL
Seat,Leon,1.6 TDI CR Style,2014,90.000,Kırmızı,134.900 TL
Mercedes - Benz,CLA,180 d AMG,2016,59.000,Füme,254.750 TL
BMW,7 Serisi,730d xDrive M Sport,2016,96.000,Gümüş Gri,899.000 TL
Renault,Megane,1.5 dCi Touch,2017,63.000,Füme,136.500 TL
BMW,3 Serisi,320d Standart,2010,221.000,Beyaz,116.500 TL
Volkswagen,Passat,1.6 TDI BlueMotion Business,2020,0,Beyaz,277.700 TL
Volkswagen,Passat,2.0 TDI BlueMotion Comfortline,2012,175.000,Siyah,137.000 TL
Renault,Megane,1.4 T Impressor,2010,167.400,Siyah,71.500 TL
Ford,Focus,1.6 TDCi Titanium X,2010,166.000,Gümüş Gri,86.000 TL
Seat,Leon,1.6 TDI Style,2016,50.400,Beyaz,156.000 TL
Volkswagen,Jetta,1.6 TDI Comfortline,2015,76.000,Beyaz,159.750 TL
Fiat,Egea,1.6 Multijet Easy,2019,16.000,Füme,136.900 TL
Renault,Clio,1.5 dCi Joy,2018,75.147,Beyaz,93.900 TL
Fiat,Egea,1.3 Multijet Easy,2017,85.000,Beyaz,89.750 TL
Peugeot,301,1.6 BlueHDI Active,2018,65.958,Beyaz,96.750 TL
Volkswagen,Polo,1.4 TDI Comfortline,2015,59.500,Kahverengi,120.750 TL
Mercedes - Benz,E Serisi,E 250 CGI Premium,2011,290.000,Beyaz,152.000 TL
Fiat,Egea,1.6 E-Torq Lounge Plus,2016,55.000,Beyaz,113.450 TL
BMW,5 Serisi,520d Comfort,2014,117.836,Beyaz,302.000 TL
Mini,Cooper S,1.6,2002,240.000,Siyah,56.000 TL
Honda,Civic,1.6i VTEC Eco Executive,2017,53.413,Beyaz,179.000 TL
Audi,A6,A6 Sedan 2.0 TDI Quattro,2016,42.000,Siyah,477.500 TL
Audi,A3,A3 Sportback 1.4 TFSI,2009,250.000,Beyaz,87.900 TL
Skoda,Superb,1.6 TDI Style,2017,76.448,Gri,215.000 TL
Skoda,Rapid,1.0 TSI GreenTec Style,2018,18.471,Beyaz,131.900 TL
Audi,A3,A3 Sedan 1.6 TDI,2015,80.000,Beyaz,201.000 TL
Volkswagen,Passat,1.6 TDI BlueMotion Comfortline,2015,105.000,Gri,201.000 TL
Ford,Focus,1.5 TDCi Titanium,2017,35.300,Beyaz,156.750 TL
Mercedes - Benz,C Serisi,C 200 d BlueTEC AMG,2015,115.000,Beyaz,256.000 TL
Citroën,C3,1.4 HDi SX,2003,238.200,Mavi,28.750 TL
Mercedes - Benz,CLA,180 d AMG,2015,84.000,Beyaz,234.500 TL
Volkswagen,Polo,1.4 TDI Comfortline,2016,31.000,Beyaz,118.900 TL
BMW,i Serisi,i8 Premium Techno,2015,114.000,Mavi,666.000 TL
Hyundai,i20,1.4 MPI Style,2018,8.000,Kırmızı,122.900 TL
Renault,Clio,1.5 dCi Touch,2019,13.687,Beyaz,133.900 TL
Peugeot,301,1.2 VTi Active,2019,2.355,Gri,89.900 TL
Peugeot,206,1.4 HDi Panoramic,2005,262.000,Gümüş Gri,31.000 TL
Peugeot,301,1.2 VTi Active,2019,4.704,Beyaz,87.900 TL
Audi,A3,A3 Sportback 1.6 TDI,2012,89.715,Gri,140.000 TL
Renault,Symbol,1.5 dCi Touch,2017,22.000,Beyaz,98.500 TL
Ford,Escort,1.6 Ghia,1999,212.000,Beyaz,26.000 TL
Opel,Corsa,1.3 CDTI  Enjoy,2004,221.000,Gümüş Gri,45.250 TL
Tofaş,Doğan,SLX,1995,152.000,Turkuaz,30.000 TL
BMW,3 Serisi,320i ED 40th Year Edition,2015,126.000,Gri,245.000 TL
Renault,Fluence,1.5 dCi Touch,2014,84.000,Beyaz,95.000 TL
Opel,Astra,1.6 Elegance Twinport,2006,210.000,Siyah,52.500 TL
Volkswagen,Passat,2.0 TDI BlueMotion Comfortline,2014,190.000,Füme,165.000 TL
Volkswagen,Passat,1.6 TDI BlueMotion Highline,2015,138.000,Beyaz,228.500 TL
Hyundai,Elantra,1.6 D-CVVT Style,2016,92.500,Gri,109.000 TL
Mercedes - Benz,C Serisi,C 200 AMG,2020,0,Bordo,461.500 TL
Hyundai,Elantra,1.6 GLS,2005,176.000,Gümüş Gri,46.000 TL
BMW,5 Serisi,520d Exclusive,2011,225.000,Beyaz,200.000 TL
Renault,Clio,1.5 dCi Joy,2016,141.000,Beyaz,69.500 TL
Volkswagen,Jetta,1.6 TDI Highline,2013,161.198,Siyah,114.750 TL
Hyundai,Accent Era,1.4 Team,2010,160.000,Gümüş Gri,59.000 TL
Mercedes - Benz,E Serisi,E 200 d Exclusive,2020,0,Lacivert,575.750 TL
Audi,A3,A3 Sedan 1.6 TDI,2016,141.500,Beyaz,172.500 TL
Mercedes - Benz,E Serisi,E 250 AMG 7G-Tronic,2016,47.000,Bej,510.000 TL
Peugeot,301,1.6 HDi Allure,2017,78.000,Siyah,81.750 TL
Volkswagen,Golf,1.6 TDI BlueMotion Highline,2014,180.000,Beyaz,135.250 TL
BMW,5 Serisi,520d M Sport,2011,289.000,Beyaz,201.500 TL
Mercedes - Benz,E Serisi,E 180 AMG,2018,25.000,Füme,455.000 TL
Fiat,Linea,1.6 Multijet Emotion Plus,2012,144.000,Siyah,66.950 TL
Volkswagen,Passat,2.0 TDI BlueMotion Comfortline,2011,187.000,Siyah,124.500 TL
Volkswagen,Polo,1.6 TDI Comfortline,2018,5.000,Bej,161.500 TL
Fiat,Egea,1.3 Multijet Easy,2017,68.000,Beyaz,87.700 TL
Seat,Toledo,1.4 TDI Style,2015,62.000,Kahverengi,119.900 TL
Mercedes - Benz,E Serisi,E 180 Edition E,2015,69.500,Siyah,339.000 TL
BMW,3 Serisi,320d Standart,2012,217.500,Beyaz,141.000 TL
Renault,Fluence,1.5 dCi Touch,2015,111.000,Gümüş Gri,98.500 TL
Fiat,Egea,1.6 Multijet Comfort,2017,82.000,Beyaz,111.900 TL
Renault,Megane,1.5 dCi Joy,2016,77.000,Beyaz,131.400 TL
BMW,3 Serisi,320i ED Sport Line,2015,80.000,Beyaz,219.750 TL
Seat,Leon,1.6 TDI CR Style,2011,110.000,Beyaz,108.000 TL
Renault,Megane,1.6 RTE,2000,365.000,Mavi,39.950 TL
BMW,3 Serisi,320i ED Techno Plus,2014,141.000,Beyaz,177.500 TL
Renault,Symbol,1.5 dCi Joy,2019,4.100,Beyaz,109.250 TL
Renault,Megane,1.5 dCi Dynamique,2005,188.000,Kırmızı,51.000 TL
Renault,Clio,1.5 dCi Touch,2018,65.890,Beyaz,116.500 TL
Renault,Megane,1.6 Joy,2018,27.000,Beyaz,116.500 TL
Volkswagen,Passat,1.6 Comfortline,2007,110.000,Siyah,88.900 TL
Mercedes - Benz,C Serisi,C 180 AMG 7G-Tronic,2016,68.000,Beyaz,296.999 TL
Renault,R 9,1.4 Broadway GTE,1988,328.000,Kırmızı,12.500 TL
Renault,Fluence,1.5 dCi Touch,2015,87.729,Beyaz,107.750 TL
Opel,Meriva,1.6 Essentia,2005,183.000,Gri,49.750 TL
Volvo,S60,1.6 D Premium,2012,185.000,Füme,112.000 TL
Skoda,Superb,1.6 TDI Elite,2020,0,Beyaz,244.900 TL
Volkswagen,Jetta,1.6 TDI Comfortline,2012,176.000,Siyah,92.000 TL
Porsche,Panamera,Panamera 4S,2011,183.500,Beyaz,543.000 TL
Volkswagen,Polo,1.4 Trendline,2009,230.000,Beyaz,53.600 TL
Opel,Vectra,2.0 GLS,1996,260.000,Beyaz,25.750 TL
Mercedes - Benz,C Serisi,C 200 D AMG,2018,55.307,Beyaz,346.250 TL
Volkswagen,Polo,1.6 TDI Comfortline,2019,13.000,Beyaz,143.000 TL
